,Date,Tested,Confirmed,Recovered,Death,Active,First Dose Vaccinated,Second Dose Vaccinated,Total Vaccinated,Non-Vaccinated,Male Vaccinated,Female Vaccinated,Transgender Vaccinated,Covishield Doses,Covaxin Doses
130,5/11/2021,11099069,1012604,873480,12461,126663,8862487,3364391,12226878,84773122,4763561,4097909,1017,10901688,1325190
131,5/12/2021,11168943,1032740,892474,12593,127673,8890679,3517391,12408070,84591930,4779701,4109958,1020,11057897,1350173
132,5/13/2021,11239416,1053117,911705,12728,128684,8916777,3645913,12562690,84437310,4795315,4120439,1023,11189843,1372847
133,5/14/2021,11309467,1073956,930886,12857,130213,8929070,3680177,12609247,84390753,4803397,4124650,1023,11227250,1381997
134,5/15/2021,11376030,1094802,950017,12993,131792,8955081,3717988,12673069,84326931,4820673,4133379,1029,11277501,1395568
135,5/16/2021,11440579,1114313,969228,13137,131948,8958736,3719913,12678649,84321351,4823003,4134704,1029,11281671,1396978
136,5/17/2021,11500373,1133430,988341,13284,131805,9001376,3739934,12741310,84258690,4851954,4148384,1038,11319508,1421802
137,5/18/2021,11567999,1152433,1007442,13431,131560,9046876,3758465,12805341,84194659,4882518,4163312,1046,11359373,1445968
138,5/19/2021,11638132,1171861,1026492,13576,131793,9095356,3773927,12869283,84130717,4914829,4179468,1059,11402543,1466740
139,5/20/2021,11708770,1190867,1045643,13733,131491,9145955,3787822,12933777,84066223,4948615,4196276,1064,11448781,1484996
140,5/21/2021,11786397,1209958,1064553,13895,131510,9202262,3803361,13005623,83994377,4987692,4213499,1071,11501679,1503944
141,5/22/2021,11856416,1229805,1083570,14054,132181,9274004,3814978,13088982,83911018,5038932,4233990,1082,11567292,1521690
142,5/23/2021,11925561,1248668,1102772,14208,131688,9329018,3815454,13144472,83855528,5077002,4250930,1086,11619599,1524873
143,5/24/2021,11991849,1267090,1122201,14364,130525,9506802,3827383,13334185,83665815,5198600,4307101,1101,11787148,1547037
144,5/25/2021,12057972,1284973,1141871,14517,128585,9656735,3835898,13492633,83507367,5299015,4356592,1128,11929902,1562731
145,5/26/2021,12121948,1301978,1160928,14674,126376,9718236,3837142,13555378,83444622,5339855,4377247,1134,11990341,1565037
146,5/27/2021,12179113,1318203,1179999,14827,123377,9887152,3842587,13729739,83270261,5451575,4434426,1151,12153379,1576360
147,5/28/2021,12238301,1331249,1199120,14975,117154,10141006,3852291,13993297,83006703,5615050,4524749,1207,12396453,1596844
148,5/29/2021,12301819,1343442,1218516,15120,109806,10407006,3864061,14271067,82728933,5782515,4623251,1240,12651983,1619084
149,5/30/2021,12372134,1354956,1237290,15268,102398,10547015,3865954,14412969,82587031,5871662,4674095,1258,12787135,1625834
